mv101,797363.8
mv12,85568.125
mv125,901.5835
mv126,86844.984
mv128,48830.5
mv15,144204.9
mv151,44252.938
mv16,74468.2
mv17,132365.94
mv170,20480.838
mv175,362140.38
mv176,404338.3
mv18,80385.82
mv180,86565.516
mv201,388566.3
mv210,447511.56
mv227,812195.9
mv234,17910.83
mv274,3366.9998
mv374,83693.21
mv408,85759.086
mv43,89339.836
mv451,83607.164
mv47,81876.336
mv499,25119.559
mv51,93040.875
mv6,8009.4775
mv77,82010.27
mv87,773072.0
mv88,847179.75
mv1,36630.71
mv10,105043.516
mv100,751536.7
mv102,809541.0
mv103,832711.8
mv104,774029.6
mv105,693758.9
mv106,689643.4
mv107,584870.1
mv108,683626.75
mv109,82010.26
mv11,430677.9
mv110,693626.0
mv111,788012.44
mv112,776452.7
mv113,673096.0
mv114,680559.94
mv115,745931.25
mv116,302919.47
mv117,596771.0
mv118,642828.06
mv119,631424.9
mv120,708531.0
mv121,394448.3
mv122,255473.81
mv123,301173.16
mv124,512402.62
mv127,1460.1376
mv129,1849.1407
mv13,22512.965
mv130,1752.861
mv131,114949.414
mv132,347912.16
mv133,959.99457
mv134,271563.6
mv135,255564.08
mv136,272118.5
mv137,408342.2
mv138,86315.48
mv139,81038.42
mv14,1758.3208
mv140,142341.12
mv141,154006.36
mv142,346802.62
mv143,200971.64
mv144,417704.94
mv145,17004.125
mv146,348316.84
mv147,457076.78
mv148,428351.94
mv149,453765.06
mv150,508621.34
mv152,21717.354
mv153,133192.42
mv154,450211.97
mv155,461055.9
mv156,283160.56
mv157,442951.06
mv158,338278.25
mv159,118368.83
mv160,439627.28
mv161,358367.25
mv162,333874.94
mv163,259657.33
mv164,388674.2
mv165,16932.654
mv166,128136.04
mv167,175789.42
mv168,436303.0
mv169,471603.94
mv171,129628.26
mv172,128487.02
mv173,379219.88
mv174,482333.94
mv177,450507.44
mv178,392411.0
mv179,394971.62
mv181,257935.89
mv182,555595.4
mv183,14380.44
mv184,353586.7
mv185,359237.2
mv186,373017.0
mv187,88759.77
mv188,230565.56
mv189,20419.113
mv19,461738.6
mv190,179110.88
mv191,217539.36
mv192,375312.12
mv193,671122.75
mv194,656031.1
mv195,621110.4
mv196,582216.1
mv197,528143.2
mv198,533270.4
mv199,612641.9
mv2,18862.852
mv20,547010.5
mv200,656448.3
mv202,444462.78
mv203,97407.836
mv204,139587.52
mv205,532235.6
mv206,609620.9
mv207,626849.2
mv208,700801.44
mv209,388713.88
mv21,548228.75
mv211,356088.53
mv212,374001.34
mv213,528794.4
mv214,621770.44
mv215,612257.44
mv216,661307.75
mv217,389348.88
mv218,592473.2
mv219,610967.06
mv22,387757.84
mv220,546578.1
mv221,482400.62
mv222,602746.75
mv223,594079.4
mv224,647631.0
mv225,434235.88
mv226,754573.5
mv228,767244.0
mv229,606462.1
mv23,17843.64
mv230,267550.34
mv231,524119.62
mv232,283987.88
mv233,618951.25
mv235,295031.75
mv236,431558.03
mv237,604942.8
mv238,691946.2
mv239,388381.12
mv24,163543.8
mv240,315009.34
mv241,476033.62
mv242,524664.0
mv243,653742.6
mv244,359391.75
mv245,539181.0
mv246,632084.5
mv247,387750.25
mv248,625374.4
mv249,329536.22
mv25,495324.5
mv250,825889.6
mv251,774020.2
mv252,740345.0
mv253,775749.75
mv254,694908.25
mv255,678624.5
mv256,747142.1
mv257,674444.4
mv258,74446.85
mv259,316351.12
mv26,44722.85
mv260,73111.43
mv261,401440.84
mv262,153286.6
mv263,73550.195
mv264,210250.52
mv265,259456.55
mv266,215591.48
mv267,21656.332
mv268,370345.97
mv269,361001.0
mv27,266183.72
mv270,385269.38
mv271,307254.44
mv272,357325.03
mv273,481596.5
mv275,86769.18
mv276,246938.27
mv277,85475.01
mv278,117640.02
mv279,10705.468
mv28,17385.47
mv280,113998.79
mv281,418085.5
mv282,589661.4
mv283,85677.87
mv284,284620.94
mv285,409996.8
mv286,341420.94
mv287,658935.06
mv288,679514.25
mv289,742859.5
mv29,163140.02
mv290,705006.8
mv291,544041.7
mv292,669465.5
mv293,725755.94
mv294,86617.12
mv295,282179.1
mv296,405768.97
mv297,328330.38
mv298,651541.0
mv299,442606.44
mv3,127300.375
mv30,385358.12
mv300,611329.5
mv301,575338.9
mv302,474342.5
mv303,632368.25
mv304,711336.06
mv305,84555.086
mv306,227940.22
mv307,185561.56
mv308,261105.36
mv309,339549.03
mv31,1803.674
mv310,376538.78
mv311,548594.56
mv312,78288.17
mv313,107070.02
mv314,24024.809
mv315,319729.47
mv316,608680.0
mv317,584118.5
mv318,620594.1
mv319,621059.94
mv32,67003.24
