0,215
1,178
2,177
3,179
4,192
5,176
6,265
7,358
8,376
9,362
10,213
11,251
12,374
13,354
14,278
15,175
16,217
17,388
18,174
19,234
20,207
21,173
22,172
23,171
24,262
25,348
26,367
27,170
28,331
29,370
30,169
31,201
32,210
33,306
34,380
35,347
36,359
37,168
38,366
39,167
40,166
41,315
42,345
43,165
44,254
45,372
46,164
47,163
48,162
49,334
50,373
51,231
52,335
53,235
54,218
55,203
56,209
57,161
58,223
59,293
60,369
61,205
62,221
63,160
64,296
65,159
66,274
67,158
68,157
69,156
70,282
71,375
72,389
73,155
74,154
75,153
76,152
77,263
78,151
79,150
80,149
81,148
82,147
83,322
84,383
85,146
86,145
87,297
88,144
89,243
90,143
91,336
92,216
93,142
94,141
95,185
96,184
97,340
98,140
99,139
100,138
101,137
102,136
103,135
104,287
105,390
106,204
107,134
108,133
109,267
110,132
111,131
112,208
113,352
114,353
115,351
116,349
117,350
118,130
119,129
120,128
121,329
122,127
123,325
124,200
125,187
126,126
127,125
128,280
129,344
130,255
131,316
132,124
133,232
134,279
135,356
136,289
137,357
138,288
139,305
140,371
141,123
142,332
143,122
144,121
145,120
146,119
147,118
148,117
149,258
150,239
151,346
152,365
153,308
154,379
155,338
156,355
157,341
158,342
159,378
160,337
161,339
162,180
163,266
164,387
165,116
166,115
167,225
168,199
169,214
170,114
171,113
172,112
173,111
174,311
175,364
176,110
177,109
178,324
179,108
180,107
181,368
182,269
183,241
184,106
185,105
186,321
187,104
188,382
189,103
190,381
191,310
192,102
193,101
194,240
195,100
196,99
197,98
198,303
199,97
200,96
201,314
202,95
203,94
204,93
205,318
206,286
207,309
208,294
209,260
210,246
211,195
212,196
213,92
214,212
215,91
216,182
217,181
218,377
219,281
220,304
221,291
222,90
223,89
224,88
225,87
226,333
227,86
228,85
229,84
230,295
231,361
232,83
233,82
234,197
235,81
236,80
237,292
238,384
239,229
240,244
241,259
242,247
243,236
244,257
245,270
246,252
247,248
248,275
249,256
250,273
251,249
252,271
253,290
254,343
255,79
256,78
257,298
258,360
259,77
260,76
261,300
262,302
263,75
264,74
265,328
266,73
267,72
268,71
269,70
270,69
271,68
272,67
273,313
274,66
275,319
276,65
277,64
278,63
279,62
280,61
281,60
282,59
283,58
284,57
285,285
286,56
287,330
288,55
289,202
290,242
291,264
292,220
293,261
294,237
295,276
296,54
297,53
298,183
299,52
300,188
301,51
302,228
303,50
304,363
305,224
306,49
307,198
308,48
309,190
310,385
311,227
312,386
313,222
314,47
315,193
316,46
317,45
318,323
319,44
320,43
321,42
322,41
323,253
324,40
325,39
326,38
327,277
328,268
329,194
330,226
331,37
332,36
333,307
334,35
335,189
336,34
337,191
338,33
339,32
340,230
341,31
342,30
343,29
344,28
345,27
346,26
347,25
348,24
349,23
350,22
351,21
352,327
353,186
354,272
355,317
356,326
357,20
358,19
359,283
360,233
361,245
362,299
363,18
364,17
365,16
366,15
367,14
368,312
369,13
370,238
371,219
372,12
373,11
374,10
375,301
376,9
377,8
378,7
379,6
380,284
381,5
382,4
383,320
384,206
385,3
386,250
387,2
388,1
389,211
